feature,adf_stat,p_value,n_obs,critical_value_1%,critical_value_5%,critical_value_10%
feature_0,-6.825983259279383,1.9474104821274792e-09,132420,-3.4303993839810287,-2.8615618270048055,-2.5667816177406193
feature_1,-5.430173294849601,2.9264306081279453e-06,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_2,-3.356274206695895,0.01254291980330236,132414,-3.4303993862187805,-2.861561827993851,-2.5667816182670546
feature_3,-4.097330253038481,0.0009784126903850535,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_4,-11.526298432954981,3.9286938455593285e-21,132409,-3.4303993880837282,-2.861561828818124,-2.5667816187057872
feature_5,-11.105812014075234,3.765455065569176e-20,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_6,-9.657405903731323,1.3822900478479242e-16,132415,-3.4303993858458077,-2.8615618278290036,-2.566781618179312
feature_7,-10.26954052928822,4.035403774309974e-18,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_8,-13.070929705956324,1.9578199633633356e-24,132408,-3.4303993884567348,-2.8615618289829863,-2.5667816187935375
feature_9,-12.580910036874636,1.9113884002927354e-23,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
