feature,adf_stat,p_value,n_obs,critical_value_1%,critical_value_5%,critical_value_10%
feature_0,-6.825983259280142,1.9474104821192554e-09,132420,-3.4303993839810287,-2.8615618270048055,-2.5667816177406193
feature_1,-5.430173294853955,2.9264306080660496e-06,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_2,-3.35627420669217,0.012542919803445534,132414,-3.4303993862187805,-2.861561827993851,-2.5667816182670546
feature_3,-4.097330253039227,0.000978412690382276,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
feature_4,-11.526347806770938,3.9276675590421675e-21,132207,-3.430399463545592,-2.8615618621708974,-2.5667816364583342
feature_5,-11.112570262304361,3.629199717518692e-20,132158,-3.430399481885464,-2.861561870276788,-2.566781640772824
feature_6,-9.64237802691126,1.5088470004773867e-16,131852,-3.4303995967244636,-2.8615619210335383,-2.5667816677889164
feature_7,-10.27087658087939,4.00474714572823e-18,132360,-3.4303994063676737,-2.861561836899296,-2.5667816230071203
feature_8,-13.072777762270034,1.9415740178707036e-24,132361,-3.4303994059943967,-2.8615618367343143,-2.566781622919306
feature_9,-12.5809100368751,1.9113884002884828e-23,132407,-3.4303993888297466,-2.861561829147851,-2.5667816188812895
